Price,Close,High,Low,Open,Volume,Returns,Volatility
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,
Date,,,,,,,
2020-11-17,116.22048950195312,117.46650747207035,115.80190464384941,116.37624546164425,74271000,,
2020-11-18,114.89655303955078,116.63903323322005,114.86735066411866,115.46115705407273,76322100,-1.1391592550297203,
2020-11-19,115.49038696289062,115.89923517011198,113.70896736833065,114.46825901798518,74113000,0.5168422442885845,
2020-11-20,114.22489166259766,115.61692877725572,114.17622350270929,115.49038264932382,73604300,-1.0957581263448368,
2020-11-23,110.8275375366211,114.49745669006192,110.7301937966756,114.06913532208017,127959300,-2.974267759440574,
2020-11-24,112.11251068115234,112.77445860760254,109.60100171666315,110.885966009348,113874200,1.1594348959586442,
2020-11-25,112.94966888427734,113.6505557267342,112.11249931432629,112.48241594054053,76499200,0.7467125640472583,
2020-11-27,113.49478912353516,114.37089759423498,113.1346165605287,113.47532334723114,46691300,0.48262225524211555,
2020-11-30,115.88951110839844,117.75853793262587,113.70897238661402,113.86472833539251,169410200,2.1099840824028604,
2020-12-01,119.46208190917969,120.19217122258144,116.82402674797702,117.79747916584601,127728200,3.082738693616216,
2020-12-02,119.81250762939453,120.0948096799896,117.68064477339988,118.78064316901394,89004200,0.29333635795938395,
2020-12-03,119.67621612548828,120.49391241051909,118.96559275000595,120.24081275840679,78967600,-0.11375398662702985,
2020-12-04,119.0045394897461,119.59834596601074,118.29391606792319,119.3452462973935,78260400,-0.5612448801338155,
2020-12-07,120.46472930908203,121.26295994561156,119.00455077200225,119.06295553689276,86712000,1.2270034618820258,
2020-12-08,121.07798767089844,121.66206495991713,119.82223338247024,121.06825849577237,82225500,0.5090771094026447,
2020-12-09,118.5470199584961,122.6063142688594,117.78772835245422,121.22401378468822,115089200,-2.090361560419851,
2020-12-10,119.96826934814453,120.58154910132534,116.96030505591354,117.30101190387383,81312200,1.1988908621625605,
2020-12-11,119.16030883789062,119.50101568391099,117.34968682549408,119.17977461758369,86939800,-0.6734785078121197,
2020-12-14,118.5470199584961,120.07533977310263,118.31339348591051,119.3452505477775,79184500,-0.514675469857051,
2020-12-15,124.48509216308594,124.50456537042437,120.83464560664378,121.03906972258223,157243700,5.00904384325207,
2020-12-16,124.41693878173828,124.9620697049553,123.20012338037756,124.0275637947843,98208600,-0.054748227408929484,1.761668073080744
2020-12-17,125.2833023071289,126.1399450451197,124.64082025363582,125.47798978748065,94359800,0.6963388859056119,1.7271548491786537
2020-12-18,123.29747772216797,125.67270382324948,122.77181256405065,125.53642108894336,192541500,-1.5850672423151302,1.7856831081144782
2020-12-21,124.82575225830078,124.90363020477331,120.17265264588809,121.70097206787531,121251600,1.2395018652178402,1.7628855879162588
2020-12-22,128.37889099121094,130.84172406271304,126.20808171972651,128.11605471749206,168904800,2.8464789265260526,1.6425604937736986
2020-12-23,127.48331451416016,128.91427567105393,127.30808538342248,128.65145425550145,88223700,-0.6976041544961564,1.6704717342236532
2020-12-24,128.4665069580078,129.91695629713385,127.61960817236115,127.83376887622417,54930100,0.7712322570170072,1.6705496198758683
2020-12-28,133.06121826171875,133.69395641508856,129.96563173528466,130.43289960768968,124486200,3.5765830429349332,1.7922051443002234
2020-12-29,131.2895050048828,135.10543618196706,130.77357648181422,134.38509099699746,121047300,-1.3315023565703021,1.826064355959478
2020-12-30,130.1700897216797,132.37983139919538,129.85857774347983,131.98071224726755,96452100,-0.85263120091853,1.759983019420826
2020-12-31,129.16741943359375,131.16300010398734,128.22316928497395,130.5205178650633,99116600,-0.7702770200356923,1.780741872691686
2021-01-04,125.9744644165039,130.0629610638514,123.39481436257799,129.97535392263828,143301900,-2.4719507683060638,1.8906351367042438
2021-01-05,127.53196716308594,128.24259796257226,125.02045870880843,125.46825325569431,97664900,1.2363638565928259,1.891590136774227
2021-01-06,123.23906707763672,127.57093452826126,123.02490637051051,124.32933639261917,155088000,-3.366136491848759,2.053149523949774
2021-01-07,127.44434356689453,128.13550107409313,124.46558260122424,124.9523086375416,109578200,3.4122917261363295,2.1798062021349547
2021-01-08,128.5443878173828,129.10899197173987,126.77269738263777,128.91428961570313,105158200,0.8631565903204352,2.109767412044135
2021-01-11,125.55587005615234,126.71428063801753,125.08861712398671,125.76030156918269,100384500,-2.3248916673640596,2.187579849664023
2021-01-12,125.38066864013672,126.24704065814508,123.4921686595174,125.08862995743296,91951100,-0.13954060127755463,2.178952580054536
2021-01-13,127.41516876220703,127.96029966424209,125.07888922385592,125.34171064567087,88636800,1.622658535910082,2.190458608959769
2021-01-14,125.48773956298828,127.52225130518217,125.34171280576037,127.32756381591491,90221800,-1.512715650689822,1.9364025943731407
2021-01-15,123.76473236083984,126.76296740977297,123.62844962469308,125.36119363586094,111598500,-1.3730482421221546,1.9626970171694467
2021-01-19,124.43640899658203,125.2930517717372,123.5700370457831,124.3877334109567,90757300,0.5427043899581152,1.960094012946121
2021-01-20,128.52490234375,128.97269692470792,125.13729259464834,125.24437293876636,104319500,3.2856085932857937,2.055123827603258
2021-01-21,133.2364044189453,135.9620736838479,130.04348223408022,130.24791374177147,120150900,3.6658281696990036,2.1854690056796926
2021-01-22,135.37802124023438,136.13731286135894,131.43553637442392,132.66208095000118,114459400,1.6073811287754536,2.1277477316187103
2021-01-25,139.1258087158203,141.23819854253642,132.9151779412319,139.2718354812106,157611700,2.7683869517750814,2.1837300574734995
2021-01-26,139.3594512939453,140.46918645287846,137.6169631530498,139.78777273313094,98390600,0.16793618688122347,2.183378272869547
2021-01-27,138.2886505126953,140.46918931400648,136.68245993673887,139.62227559520105,140843800,-0.7683732759476758,2.066901450031833
2021-01-28,133.45054626464844,138.2204705183577,133.07090053569834,135.816042617107,142621100,-3.49855482001592,2.2043636979692036
2021-01-29,128.4567413330078,133.10984102627805,126.7532002152796,132.22399608017142,177523800,-3.7420640614968415,2.35962634525438
2021-02-01,130.5789031982422,131.78598951100426,127.45411448597895,130.19925735971532,106239800,1.65204398244303,2.3822155297758245
2021-02-02,131.4062957763672,132.6912447408377,131.03637924925178,132.1266407771297,83305400,0.6336341919405353,2.3070541667883684
2021-02-03,130.3842315673828,132.16565144314657,130.0629904566346,132.1559074116743,89880900,-0.7777893767919375,2.3050771406657633
2021-02-04,133.7426300048828,133.75235918193923,131.01696020484349,132.68157041122387,84183100,2.57577039579695,2.210945501391238
2021-02-05,133.32826232910156,133.97170445351236,132.45085206919504,133.90346870595903,75693800,-0.30982468025798626,2.100881763271379
2021-02-08,133.4745330810547,133.5232814106689,131.53446261926186,132.61661008272995,71297200,0.10970723640879587,2.095999547582681
2021-02-09,132.5970916748047,134.4201778248724,132.44111786524098,133.19178552172198,76774200,-0.657384885337764,2.0217403242791026
2021-02-10,131.99269104003906,133.55254857926334,131.02752751410483,133.0553363647348,73046600,-0.4558174143426297,2.0265298046170215
2021-02-11,131.73919677734375,132.9675743269367,130.41332257065082,132.4898645085888,64280000,-0.19205174218200893,2.003595214284551
2021-02-12,131.97314453125,132.1291332081116,130.33530805190028,130.9787501870301,60145100,0.17758401419560865,1.9634131053511357
2021-02-16,129.84786987304688,132.59709996571863,129.45789813500429,132.09015902011436,80576300,-1.6103841927475493,1.9745556105352764
2021-02-17,127.55683898925781,128.9022155221852,126.22122104772362,127.95655446293937,97918500,-1.7643962015156833,2.0238671950019316
2021-02-18,126.4552001953125,126.73791669485071,124.21291100168493,125.95798807847142,96856700,-0.8636454169565044,1.8932604147486183
2021-02-19,126.61116027832031,127.43009341839543,125.56801758188449,126.9718859638425,87668800,0.12333228112955119,1.679592101544214
2021-02-22,122.83826446533203,126.46491917771368,122.44830023340782,124.797821900289,103916400,-2.979907778030466,1.7264267362718015
2021-02-23,122.70178985595703,123.53045927947294,115.41923371769597,120.65448673963841,158273000,-0.11110105631093603,1.5535040983346826
2021-02-24,122.20458984375,122.40931941932189,119.16288479188184,121.80488184514299,111039900,-0.4052100729669106,1.5435642622262118
2021-02-25,117.9540023803711,123.28674515580227,117.51529718125303,121.55141178976116,148199500,-3.4782551693137598,1.6689707065574686
2021-02-26,118.21720886230469,121.71712094720249,118.15870939243611,119.51382934353043,164560400,0.22314332419584026,1.5532215462770687
2021-03-01,124.5833511352539,124.71983750347,119.7088167333954,120.64472644599832,116307900,5.3851231425741775,1.8846580291344392
2021-03-02,121.9803695678711,125.4900333680428,121.87312920015346,125.18781457062964,102260900,-2.089349454532563,1.8834923058228517
2021-03-03,118.99713897705078,122.55555080343935,118.78265825970878,121.67813306792647,112966300,-2.4456644961715845,1.9265140684190238
2021-03-04,117.11556243896484,120.49849054949536,115.64345838509743,118.69491428410296,178155000,-1.5811947701102391,1.941427576787117
2021-03-05,118.37320709228516,118.8801629015518,114.61981660015222,117.94425306669439,153766600,1.0738493050193476,1.8419816739132726
2021-03-08,113.44017028808594,117.96373782106434,113.29393276187487,117.89549463389245,154376600,-4.167359257533143,2.0055207933172627
2021-03-09,118.0514907836914,118.99715180961525,115.80920903774101,116.04318464645965,129525800,4.064980230455251,2.2753057658661793
2021-03-10,116.9693374633789,119.10437859558475,116.45263053937967,118.63642743151894,111943300,-0.9166790805677838,2.2764622523758224
2021-03-11,118.89965057373047,120.1182842596345,118.21721868480411,119.46509838909789,103026500,1.6502727571282572,2.331559497700567
2021-03-12,117.99298095703125,118.12946732804168,116.16990981369923,117.37879228748427,88105100,-0.7625502785956306,2.3311434035330145
2021-03-15,120.87870025634766,120.88845140763532,117.39828304156515,118.36344619441722,92403800,2.4456703067509356,2.4205184924890433
2021-03-16,122.4190673828125,124.02766536377307,121.59039794957519,122.54580261068884,115227900,1.2743081479186902,2.431177699647379
