date,news_count,avg_sentiment,sentiment
2022-06-03,12,0.05694444444444444,"{'neutral': 6, 'positive': 4, 'negative': 2}"
2022-06-04,2,0.0,{'neutral': 2}
2022-06-05,3,0.16666666666666666,"{'neutral': 2, 'positive': 1}"
2022-06-06,25,0.3511111111111111,"{'positive': 13, 'neutral': 9, 'negative': 3}"
2022-06-07,22,0.15938975796930344,"{'neutral': 12, 'positive': 7, 'negative': 3}"
2022-06-08,26,0.32062937062937064,"{'positive': 13, 'neutral': 9, 'negative': 4}"
2022-06-09,27,0.2762686387686388,"{'neutral': 13, 'positive': 12, 'negative': 2}"
2022-06-10,25,-0.04351948051948052,"{'positive': 10, 'neutral': 8, 'negative': 7}"
2022-06-11,4,0.5625,"{'positive': 3, 'neutral': 1}"
2022-06-12,6,0.16666666666666666,"{'neutral': 3, 'positive': 2, 'negative': 1}"
2022-06-13,23,-0.020289855072463767,"{'neutral': 20, 'positive': 2, 'negative': 1}"
2022-06-14,18,0.28843193843193843,"{'positive': 10, 'neutral': 8}"
2022-06-15,22,0.3590909090909091,"{'positive': 11, 'neutral': 9, 'negative': 2}"
2022-06-16,16,0.07920725108225107,"{'neutral': 8, 'positive': 7, 'negative': 1}"
2022-06-17,26,0.30613553113553116,"{'neutral': 13, 'positive': 12, 'negative': 1}"
2022-06-18,2,0.0,{'neutral': 2}
2022-06-20,7,0.3627551020408163,"{'positive': 4, 'neutral': 2, 'negative': 1}"
2022-06-21,17,0.4496148459383753,"{'positive': 11, 'neutral': 5, 'negative': 1}"
2022-06-22,16,0.3254599567099567,"{'positive': 11, 'neutral': 5}"
2022-06-23,24,0.11593501984126986,"{'neutral': 11, 'positive': 9, 'negative': 4}"
2022-06-24,16,0.2871279761904762,"{'neutral': 8, 'positive': 7, 'negative': 1}"
2022-06-25,4,0.16805555555555557,"{'positive': 2, 'neutral': 1, 'negative': 1}"
2022-06-26,7,0.5285714285714286,"{'positive': 5, 'neutral': 2}"
